FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA
8045703,3H8D,C:1143-1264,Q64331,1143-1264,8091604,3H8D,C:1143-1264,Q64331,1143-1264,"TP=1,CL=1000003,CF=2001470,SF=3002524,FA=4004627",1,1000003,2001470,3002524,4004627
8094330,6J56,A:1158-1282,Q9UM54,1167-1291,8094331,6J56,A:1158-1282,Q9UM54,1167-1291,"TP=1,CL=1000003,CF=2001470,SF=3002524,FA=4004627",1,1000003,2001470,3002524,4004627
8017835,3FKQ,A:1-116,D0VX10,1-116,8017836,3FKQ,A:1-116,D0VX10,1-116,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986",1,1000002,2000016,3001156,4003986
8021315,1XHF,A:2-122,P0A9Q1,2-122,8033695,1XHF,A:2-122,P0A9Q1,2-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8021787,1Y7P,B:79-215,O28869,79-215,8034167,1Y7P,B:79-215,O28869,79-215,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4002481",1,1000002,2000016,3001156,4002481
8021931,1JBE,A:2-129,P0AE67,2-129,8034311,1JBE,A:2-129,P0AE67,2-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8022184,1YIO,A:3-130,O30989,3-130,8034564,1YIO,A:3-130,O30989,3-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8022194,1P2F,A:3-120,Q9WXY0,3-120,8034574,1P2F,A:3-120,Q9WXY0,3-120,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8022532,1YS6,B:7-127,P9WGM1,7-127,8034912,1YS6,B:7-127,P9WGM1,7-127,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8023273,1ZGZ,A:2-121,P38684,2-121,8035653,1ZGZ,A:2-121,P38684,2-121,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8023280,1ZH2,A:2-120,P21866,2-120,8035660,1ZH2,A:2-120,P21866,2-120,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
